Price,Price
Ticker,SPY
Date,
2020-02-10,306.68853759765625
2020-02-11,307.2200012207031
2020-02-12,309.1993103027344
2020-02-13,308.8694152832031
2020-02-14,309.36431884765625
2020-02-18,308.5670166015625
2020-02-19,310.04241943359375
2020-02-20,308.7686462402344
2020-02-21,305.58880615234375
2020-02-24,295.4538269042969
2020-02-25,286.5010070800781
2020-02-26,285.4472351074219
2020-02-27,272.6272888183594
2020-02-28,271.48187255859375
2020-03-02,283.2388610839844
2020-03-03,275.1289367675781
2020-03-04,286.6935119628906
2020-03-05,277.1632385253906
2020-03-06,272.5814514160156
2020-03-09,251.2943572998047
2020-03-10,264.29754638671875
2020-03-11,251.41346740722656
2020-03-12,227.35894775390625
2020-03-13,246.7949981689453
2020-03-16,219.789794921875
2020-03-17,231.65664672851562
2020-03-18,219.92721557617188
2020-03-19,220.39451599121094
2020-03-20,210.8968048095703
2020-03-23,205.5045623779297
2020-03-24,224.12393188476562
2020-03-25,227.4791259765625
2020-03-26,240.76161193847656
2020-03-27,233.59039306640625
2020-03-30,241.1763916015625
2020-03-31,237.58157348632812
2020-04-01,226.88925170898438
2020-04-02,232.1248016357422
2020-04-03,228.76963806152344
2020-04-06,244.13522338867188
2020-04-07,244.3841094970703
2020-04-08,252.587646484375
2020-04-09,256.431396484375
2020-04-13,254.0901336669922
2020-04-14,261.5840148925781
2020-04-15,256.0258483886719
2020-04-16,257.26092529296875
2020-04-17,264.21099853515625
2020-04-20,259.5560302734375
2020-04-21,251.67515563964844
2020-04-22,257.26092529296875
2020-04-23,257.24249267578125
2020-04-24,260.828125
2020-04-27,264.5888366699219
2020-04-28,263.3721923828125
2020-04-29,270.2669372558594
2020-04-30,267.75048828125
2020-05-01,260.6622314453125
2020-05-04,261.3811950683594
2020-05-05,263.79620361328125
2020-05-06,262.0080871582031
2020-05-07,265.1695861816406
2020-05-08,269.55712890625
2020-05-11,269.6124267578125
2020-05-12,264.2386779785156
2020-05-13,259.5652770996094
2020-05-14,262.671630859375
2020-05-15,263.8791198730469
2020-05-18,271.9167175292969
2020-05-19,269.1238708496094
2020-05-20,273.69580078125
2020-05-21,271.80615234375
2020-05-22,272.3224182128906
2020-05-26,275.677490234375
2020-05-27,279.77935791015625
2020-05-28,279.26324462890625
2020-05-29,280.50750732421875
2020-06-01,281.6413269042969
2020-06-02,283.9732971191406
2020-06-03,287.7524719238281
2020-06-04,286.99664306640625
2020-06-05,294.3522033691406
2020-06-08,297.9101867675781
2020-06-09,295.6888122558594
2020-06-10,294.0389099121094
2020-06-11,277.08782958984375
2020-06-12,280.4061279296875
2020-06-15,283.02392578125
2020-06-16,288.4714660644531
2020-06-17,287.27325439453125
2020-06-18,287.3837890625
2020-06-19,285.7415466308594
2020-06-22,287.5745849609375
2020-06-23,288.8984069824219
2020-06-24,281.52899169921875
2020-06-25,284.5472106933594
2020-06-26,277.7886657714844
2020-06-29,281.87158203125
2020-06-30,285.4822082519531
2020-07-01,287.48193359375
2020-07-02,289.06512451171875
2020-07-06,293.5274963378906
2020-07-07,290.5000915527344
2020-07-08,292.72198486328125
2020-07-09,291.0555419921875
2020-07-10,294.0273742675781
